Scanning image go-example-tester.tar
+--------------------------------+------+-----------+-------------+-----------------------+--------------------------------------------+
| OSV URL                        | CVSS | ECOSYSTEM | PACKAGE     | VERSION               | SOURCE                                     |
| https://osv.dev/CVE-2023-1972  | 6.5  | Debian:12 | binutils    | 2.40-2                | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2017-13716 | 5.5  | Debian:12 | binutils    | 2.40-2                | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2018-18483 | 7.8  | Debian:12 | binutils    | 2.40-2                | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2018-20673 | 5.5  | Debian:12 | binutils    | 2.40-2                | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2018-20712 | 6.5  | Debian:12 | binutils    | 2.40-2                | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2018-9996  | 5.5  | Debian:12 | binutils    | 2.40-2                | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2021-32256 | 6.5  | Debian:12 | binutils    | 2.40-2                | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2023-1972  | 6.5  | Debian:12 | binutils    | 2.40-2                | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2016-2781  | 6.5  | Debian:12 | coreutils   | 9.1-1                 | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2017-18018 | 4.7  | Debian:12 | coreutils   | 9.1-1                 | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2023-52426 | 5.5  | Debian:12 | expat       | 2.5.0-1               | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2024-28757 |      | Debian:12 | expat       | 2.5.0-1               | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2022-27943 | 5.5  | Debian:12 | gcc-12      | 12.2.0-14             | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2022-27943 | 5.5  | Debian:12 | gcc-12      | 12.2.0-14             | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2022-27943 | 5.5  | Debian:12 | gcc-12      | 12.2.0-14             | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2022-27943 | 5.5  | Debian:12 | gcc-12      | 12.2.0-14             | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2022-27943 | 5.5  | Debian:12 | gcc-12      | 12.2.0-14             | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2022-27943 | 5.5  | Debian:12 | gcc-12      | 12.2.0-14             | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2022-27943 | 5.5  | Debian:12 | gcc-12      | 12.2.0-14             | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2022-27943 | 5.5  | Debian:12 | gcc-12      | 12.2.0-14             | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2022-27943 | 5.5  | Debian:12 | gcc-12      | 12.2.0-14             | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2022-27943 | 5.5  | Debian:12 | gcc-12      | 12.2.0-14             | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2022-27943 | 5.5  | Debian:12 | gcc-12      | 12.2.0-14             | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2022-27943 | 5.5  | Debian:12 | gcc-12      | 12.2.0-14             | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2022-27943 | 5.5  | Debian:12 | gcc-12      | 12.2.0-14             | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2022-27943 | 5.5  | Debian:12 | gcc-12      | 12.2.0-14             | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2022-27943 | 5.5  | Debian:12 | gcc-12      | 12.2.0-14             | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2022-27943 | 5.5  | Debian:12 | gcc-12      | 12.2.0-14             | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2022-27943 | 5.5  | Debian:12 | gcc-12      | 12.2.0-14             | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2010-4756  |      | Debian:12 | glibc       | 2.36-9+deb12u4        | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2018-20796 | 7.5  | Debian:12 | glibc       | 2.36-9+deb12u4        | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2010-4756  |      | Debian:12 | glibc       | 2.36-9+deb12u4        | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2018-20796 | 7.5  | Debian:12 | glibc       | 2.36-9+deb12u4        | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2010-4756  |      | Debian:12 | glibc       | 2.36-9+deb12u4        | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2018-20796 | 7.5  | Debian:12 | glibc       | 2.36-9+deb12u4        | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2010-4756  |      | Debian:12 | glibc       | 2.36-9+deb12u4        | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2018-20796 | 7.5  | Debian:12 | glibc       | 2.36-9+deb12u4        | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2010-4756  |      | Debian:12 | glibc       | 2.36-9+deb12u4        | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2018-20796 | 7.5  | Debian:12 | glibc       | 2.36-9+deb12u4        | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2022-3219  | 3.3  | Debian:12 | gnupg2      | 2.2.40-1.1            | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2011-3389  |      | Debian:12 | gnutls28    | 3.7.9-2+deb12u2       | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2023-45283 | 7.5  | Debian:12 | golang-1.19 | 1.19.8-2              | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2023-45284 | 5.3  | Debian:12 | golang-1.19 | 1.19.8-2              | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2023-45283 | 7.5  | Debian:12 | golang-1.19 | 1.19.8-2              | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2023-45284 | 5.3  | Debian:12 | golang-1.19 | 1.19.8-2              | go-example-tester.tar:/var/lib/dpkg/status |
